,credit,defaultTitle,defaultabstract
182,"['DPMA', 'MIMEL', 'Terra Maris', 'Ifremer']",Arrêté n° 81/86 du 25/09/1986,"""<span><p>Arrêté n° 81/86 du 25/09/1986 \nRemarque : le paragraphe 1.2 de l'article 1er n'est pas abrogé mais ne s'applique plus !</p><p>Voir aussi :\nArrêté n° 91/99 du 30/091999 modifiant l'arrêté n°81 du 25 septembre 1986 relatif à l'interdiction de la pêche des coquilles Saint-Jacques dans la bande des 12 milles.</p></span>"""
183,Rebent,"Répartition des peuplements benthiques dans la région de Roscoff (Source Cabioch L., 1968) au 1/50000","""<span><p>Cette carte des peuplements benthiques de la région de Roscoff a été réalisée d’après une carte extraite de la thèse de Louis Cabioch (1968, Station biologique de Roscoff) : \""Contribution à la connaissance des peuplements benthiques de la Manche occidentale\"" publiée en 1968 dans les Cahiers de biologie marine, tome IX, cahier 5 suppl.\nCes données ont été numérisées en 2003 et une harmonisation avec la typologie EUNIS a été effectuée en 2006 dans le cadre des projets REBENT et Interreg-MESH, avec l'expertise de Frank Gentil, de la Station Biologique de Roscoff.</p></span>"""
184,GIP RNMR (CAREX 2005),Planche III : Vecteurs de Pollution et de Dégradation des plateformes récifales de La Réunion (Atlas CAREX 2005),"""<span><p>Planche illustrant les vecteurs de pollution et de dégradation potentiels des plateformes récifales de Saint-Paul à Grand Anse observées et recueillies dans le cadre des travaux réalisés par le groupement CAREX Environnement / ARVAM en 2005 pour le compte de l'association \""Parc Marin de La Réunion\"". \n(Carex Environnement, Arvam, 2005. Conservation et réhabilitation des récifs coralliens de La Réunion - Phase 2 - Saint-Gilles, Saint-Leu, Saint-Pierre. 60p. + Annexes)</p></span>"""
185,Null,DGMW Elbe Model A (1m),"""<span><p>High Resolution DTM of the German Elbe Approach.</p></span>"""
186,Null,Bathymétrie de l'étang Bages-Sigean,"""<span><p>Bathymétrie de l'étang de Bages-Sigean à la demande du Parc Naturel Régional de la Narbonaise en méditérranée. Ces travaux sont effectués par SCP FERRIER - LEDUC - BOYER Géomètres Experts DPLG Associés. Etangs de Bages-Sigean, campagne 2000-2001</p></span>"""
187,"['CEFAS', 'CHARM consortium']",Species and habitats - Limanda limanda (Common Dab) - Nurseries British coasts - Multi-annual abundance in September,"""<span><p>Abundance of several species in coastal nurseries along british coasts.</p></span>"""
188,REBENT,"Evaluation du taux de couverture et de la dynamique spatiale des Fucales en zone intertidale à partir d'imagerie SPOT : Morbihan, Ria d'Etel à Pornichet, Image Spot du 20 avril 2007","""<span><p>L'image SPOT du 20 avril 2007, qui s'étend du sud de la Ria d'Etel à Pornichet,en passant par la Baie de Vilaine et les Îles de Houat, Hoëdic et Belle-Île (Morbihan) a été traitée par le CEVA dans le cadre du REseau de surveillance BENThique (REBENT) en 2007 en vue du suivi de la couverture en Fucales des côtes bretonnes. Cette image a été acquise à une résolution de 10 m.\nLes résultats de ces traitements sont : </p><ul style=\""list-style: square\""><li>une cartographie de la couverture végétale en fucales dans la zone intertidale basée sur un indice de couverture végétale (VCI).</li><li>des comparaisons multi-dates basées sur le calcul de différentiel de VCI afin de mettre en évidence des variations spatio-temporelles du couvert végétal en fucales : comparaison avec les Images Spot du 7 octobre 1986 et du 3 septembre 2004.</li></ul></span>"""
189,"['IFREMER', 'CHARM consortium']",Physical environment - In situ data - Bottom salinity collected during the  International Bottom Trawl Survey in summer (1991-2009),"""<span><p>Temperature and salinity were measured, in situ at sea surface and at bottom during the iBTS surveys from 1991 to 2009 . Temperature and salinity were measured using CTD probe.  The IBTS Q3 survey gives a good illustration of summer conditions.</p></span>"""
190,CEREMA,Indicateur IBC,"""<span><p>L'indicateur IBC représente le degré d'Intensité du Bâti situé dans les zones basses sous les niveaux marins centennaux actuels (ZBNM100) et dans les communes ayant fait l'objet d'un Arrêté de catastrophes naturelles d'origine marine.\nLa représentation cartographique de cet indicateur est discrétisé en 6 classes selon un algorithme utilisant la moyenne de chaque classe pour répartir dans toutes les classes les données de façon équilibrée. Une 7ième classe a été rajoutée (classe de valeur 0). Elle correspond aux communes n'ayant soit aucun bâtiment soit aucune catastrophe naturelle recensée dans ces zones basses. La distribution des valeurs de l'indicateur IBC pour les ZBNM100 se répartit comme suit :</p><ul><li>classe 0 : valeur IBC [0;1[</li><li>Classe 1 : valeur IBC [1;100[</li><li>Classe 2 : valeur IBC [100;300[</li><li>Classe 3 : valeur IBC [300;700[</li><li>Classe 4 : valeur IBC [700;1400[</li><li>Classe 5 : valeur IBC [1400;3300[</li><li>Classe 6 : valeur IBC [3300;10400[</li></ul></span>"""
191,Null,Site du débarquement (Projet Unesco),"""<span><p>Cette couche représente les sites du débarquement en Normandie</p></span>"""
192,"Ifremer, Géosciences Marines, 1987",Carte des sédiments superficiels au large de Boulogne - sur - mer (scan géoréférencé),"""<span><p>Scan de la carte des sédiments superficiels au large de Boulogne-sur-mer (édition 1987 ; Echelle 1/43 400)</p></span>"""
193,Emodnet chemistry,Baltic Sea DIVA 4D analysis of Water_body_chlorophyll-a,"""<span><p>Units: mg/m3. Method: spatial interpolation produced with DIVA (Data-Interpolating Variational Analysis). URL: <a href=\""http://modb.oce.ulg.ac.be/DIVA\"">http://modb.oce.ulg.ac.be/DIVA</a>.</p>\t\t<p>Comment: Every year of the time dimension corresponds to a 10-year centred average for each season :</p><ul style=\""list-style: square\""><li>winter season (December-February),</li><li>spring (March-May),</li><li>summer (June-August),</li><li>autumn (September-November).</li></ul><p>.</p></span>"""
194,"© IGN, Ifremer, Photothèque nationale; Traitements financés par l'Ifremer",Photos anciennes - Outre Mer - Saint-Pierre-et-Miquelon 1952,"""<span><p>Il s'agit de clichés en noir et blanc datant de 1952. Les prises de vue recouvrent l’intégralité de la Guadeloupe (littoral et intérieur de l'île).</p></span>"""
195,"© SHOM, Ifremer, Photothèque nationale; Traitements financés par l'Agence des Aires Marines Protégées",Photos anciennes - Outre Mer - Ile Europa 1936,"""<span><p>Il s'agit de clichés noir et blanc du littoral d'outre mer. Les années de prises de vue s'échelonnent entre 1919 et 1958. Du fait d'un archivage correct dans une salle climatisée, leur état de conservation est resté remarquable. Une partie d'entre elles sont rangées en album avec un numéro et un plan d'assemblage. D'autres sont stockées dans des boîtes de carton plus ou moins organisées. Le reste est en vrac. Elles existent en général sous forme de clichés. Mais on trouve dans cette collection également quelques photos sur plaques de verre qui sont en fait les originaux et quelques films négatifs.</p></span>"""
196,"© SHOM, Ifremer, Photothèque nationale; Traitements financés par l'Ifremer",Photos anciennes - Bretagne - Morbihan - Belle-île 1938,"""<span><p>Il s'agit de clichés noir et blanc du littoral métropolitain. Les années de prises de vue s'échelonnent entre 1919 et 1958. Du fait d'un archivage correct dans une salle climatisée, leur état de conservation est resté remarquable. Une partie d'entre elles sont rangées en album avec un numéro et un plan d'assemblage. D'autres sont stockées dans des boîtes de carton plus ou moins organisées. Le reste est en vrac. Elles existent en général sous forme de clichés. Mais on trouve dans cette collection également quelques photos sur plaques de verre qui sont en fait les originaux et quelques films négatifs.</p></span>"""
197,"['IFREMER', 'CHARM consortium']",Species and habitats - Mullus surmuletus - Mature - CGFS annual abundance in October (1989-2006),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation.</p></span>"""
198,"Agence des aires marines protégées, Bretagne Vivante",Suivis-Production des oiseaux marins nicheurs 2014-Sterne caugek,"""<span><p>L'objectif est de suivre l'évolution du succès de reproduction et l'évolution des effectifs sur les colonies d'oiseaux marins.</p></span>"""
199,PELAGOS ; IUEM,Comptage taxinomique phytoplancton - Brest-St Anne de Portzic (Pelagos),"""<span><p>La base de données PELAGOS regroupe des données de biodiversité de l’écosystème pélagique côtier (dont des séries temporelles). L’un des objectifs est d’exploiter l’information biologique acquise, pour répondre à des questions scientifiques concernant par exemple les facteurs qui contrôlent la distribution et l’abondance des organismes pélagiques à différentes échelles spatiales et à différentes échelles de temps. Ces données présentent le suivi du site de Goulbrest (IUEM - Institut Universitaire Européen de la Mer) faisant partie du RESOMAR et concernent le comptage taxinomique phytoplancton (3 mètres de profondeur) de 2006 à 2012.</p></span>"""
200,Null,Vitesses des courants de marées coefficient 95,"""<span><p>Représentation des vitesses des courants coefficient 95 en Manche Mer du Nord et en Atlantique</p></span>"""
201,CEREMA,"Localisation des zone d'abris, d'échouages sous forme de polygones","""<span><p>Cette couche représente les zones d'abris et d'échouage sous la forme d'entités surfaciques</p></span>"""
202,"Ifremer, Géosciences Marines, 2001","MNT de Bathymétrie de la zone Estonic - Campagne GMO 1 (réalisé en 2001, résolution 50m)","""<span><p>Modèle bathymétrique (MNT) dans la Mer Ligure, sur la zone Estonic. Les données ont été acquises avec le sondeur EM300 lors de la campagne GMO 1 en 2001.\nLe pas de la grille est de 50m.\nProduit interne Ifremer.</p></span>"""
203,"['IFREMER', 'CHARM consortium']",Species and habitats - Demospongia - Presence probability (2006-2012),"""<span><p>Abundances were recoded in term of presence-absence. Geostatistical interpolation : the spatial variation of biological data were analysed using GENSTAT (GENSTAT 7 Committee, 2004), which is a GENeral STATistics package including the main geostatistical tools. It computes experimentala variograms, fits these with various authorised mathematical models and uses them to calculate kriged estimates on a fine regular grid (of latitudes and longitudes). The grid of points was imported into ArcMap and interpolated with the Spatial Analyst extension in order to create a continuous raster of 1 km² resolution. The resulting maps illustrate the spatial distributions and the variations over time for biological data studied in CHARM's area. For legends of maps, approximates of the 5th and the 95th quantiles were used for the minimales and maximales values respectively.</p></span>"""
204,"['DPMA', 'Terra Maris', 'Ifremer']",Arrêté n° 281/2003 du 24/10/2003,"""<span><p>Arrêté n° 281/2003 du 24/10/2003 portant approbation de la délibération \""Bolinche au Sud du 48°30'-CRPM-2003-A\"" du 26 septembre 2003 du CRPMEM de Bretagne portant création et fixant les conditions d'attribution de la licence de pêche à la bolinche dans les eaux maritimes relevant de la région Bretagne au Sud du 48°30'.</p></span>"""
205,"['IFREMER', 'CHARM consortium']",Species and habitats - Clupea harengus - Immature - IBTS annual abundance in January (1980-2010),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation.</p></span>"""
206,E.U. Copernicus Marine Service Information,Baltic- In-situ Observations Yearly Delivery in Delayed Mode,"""<span><p><b>Short description:</b></p><p>For the Baltic Sea- In-situ observation yearly delivery in delayed mode. The In Situ delayed mode product designed for reanalysis purposes integrates the best available version of in situ data for temperature and salinity measurements. These data are collected from national observing systems operated by Baltic ROOS members (BOOS), scientific cruises from SeaDataNet NODCs. It is updated on a yearly basis. This product is delivered by authenticated FTP and is elaborated jointly with the SeaDataNet2 project.</p><p><i>'Detailed description: '</i></p><p>Ocean circulation models need information on the interior of the ocean to be able to generate accurate forecast. This information is only available from in-situ measurement. However this information is not easily available to the operational users. Therefore, INS TAC, by connecting to Baltic ROOS members (BOOS), SeaDataNet network and international networks, collects, controls and disseminates the relevant in-situ data to operational users. For reanalysis purposes, operational centres needs to access to the best available datasets with the best possible coverage and where additional quality control procedures have been performed. This dataset suits research community needs. Periodically, a new release of the product is issued containing all the observations gathered by the INS TAC Baltic component operated by SMHI. </p><p><b>Processing information:</b></p><p>From the near real time INS TAC product validated on a daily and weekly basis for forecasting purposes and historical data collected from Baltic ROOS members (BOOS) and SeaDataNet network, a scientifically validated product is created. It’s a \""\""\""\""reference product\""\""\""\"" updated periodically (target yearly). This product has been controlled using statistical test method to check the consistency of the observation over the Baltic Sea and a visual quality control (QC). This QC procedure has been developed with the main objective to improve the quality of the dataset to the level required by the climate application and the physical ocean re-analysis activities. The measured parameters, depending on the data source are: temperature, salinity. The reference level of measurements is immersion (in meters) or pressure (in decibars). </p><p><b>Quality/accuracy/calibration information:</b></p><p>On each profile or underway data individual automatic tests (peak detection, etc.) and statistical tests (comparison with climatology and neighbouring measurements) are performed. On doubtful data visual control by ocean experts is performed. As a result of these tests, quality control flags are assigned to each measurement and included in the product.</p><p><i>'Suitability, Expected type of users / uses: '</i></p><p>The product is designed for assimilation into operational models operated by ocean forecasting centres for reanalysis purposes or for research community. These users need data aggregated and quality controlled in a reliable and documented manner</p></span>"""
207,E.U. Copernicus Marine Service Information,Arctic- In-situ Observations Yearly Delivery in Delayed Mode,"""<span><p><b>Short description:</b></p><p>For the Arctic Oceans- In-situ observation yearly delivery in delayed mode. The In Situ delayed mode product designed for reanalysis purposes integrates the best available version of in situ data for temperature and salinity measurements. These data are collected from national observing systems operated by Arctic ROOS members, scientific cruises from SeaDataNet NODCs completed by main global networks (Argo, GOSUD, OceanSITES, World Ocean Database). It is updated on a yearly basis. This product is delivered by authenticated FTP and is elaborated jointly with the SeaDataNet2 project.</p><p><i>'Detailed description: '</i></p><p>Ocean circulation models need information on the interior of the ocean to be able to generate accurate forecast. This information is only available from in-situ measurement. However this information is acquired all around the world and not easily available to the operational users. Therefore, INS TAC, by connecting to Arctic ROOS members, SeaDataNet network and international networks, collects, controls and disseminates the relevant in-situ data to operational users. For reanalysis purposes, operational centres needs access to the best available datasets with the best possible coverage and where additional quality control procedures have been performed. This dataset suits research community needs. Periodically, a new release of this product is issued containing all the observations gathered by the INS TAC Arctic component operated by IMR. </p><p><b>Processing information:</b></p><p>From the near real time INS TAC product, validated on a daily and weekly basis for forecasting purposes, and historical data collected from Arctic ROOS members (Arctic-ROOS) and SeaDataNet network, a scientifically validated product is created. It’s a \""\""\""\""reference product\""\""\""\"" updated periodically (namely yearly). This product has been controlled using statistical test methods (comparison with climatology and neighbouring measurements) to check the consistency of the observation over the Arctic Oceans and a visual quality control (QC). This QC procedure has been developed with the main objective to improve the quality of the dataset to the level required by the climate application and the physical ocean re-analysis activities. The measured parameters, depending on the data source are: temperature, salinity. The reference level of measurements is immersion (in meters) or pressure (in decibars). <i>'Quality/accuracy/calibration information:</i>'On each profile or underway data individual automatic tests (peak detection, etc.) and statistical tests (comparison with climatology and neighbouring measurements) are performed. On doubtful data visual control by ocean experts is performed. As a result of these tests, quality control flags are assigned to each measurement and included in the product.</p><p><i>'Suitability, Expected type of users / uses: '</i></p><p>The product is designed for assimilation into operational models operated by ocean forecasting centres for reanalysis purposes or for research community. These users need data aggregated and quality controlled in a reliable and documented manner</p></span>"""
208,E.U. Copernicus Marine Service Information,Global Ocean Physics Reanalysis GLORYS12V1,"""<span><p><b>Short description:</b></p><p>The GLORYS12V1 product is the CMEMS global ocean eddy-resolving (1/12° horizontal resolution and 50 vertical levels) reanalysis covering the altimetry era 1993-2016. It is based largely on the current real-time global forecasting CMEMS system. The model component is the NEMO platform driven at the surface by ECMWF ERA-Interim reanalysis. Observations are assimilated by means of a reduced-order Kalman filter. Along track altimeter data (Sea Level Anomaly), satellite Sea Surface Temperature, Sea Ice Concentration and in situ temperature and salinity vertical profiles are jointly assimilated. Moreover, a 3D-VAR scheme provides a correction for the slowly-evolving large-scale biases in temperature and salinity.\nThis product includes daily and monthly mean files of temperature, salinity, currents, sea level, mixed layer depth and ice parameters from the top to the bottom. The global ocean output files are displayed on a standard regular grid at 1/12° (approximatively 8 km) and on 50 standard levels.</p></span>"""
209,E.U. Copernicus Marine Service Information,Mediterranean Sea Waves Hindcast,"""<span><p><b>Short description:</b></p>                                                                                                                                                                                      <p>MEDSEA_HINDCAST_WAV_006_012 is the hindcast product of the Mediterranean Sea Waves forecasting system (WAM 4.5.4) covering the period Feb 2006- Dec 2015, yearly updated, composed by hourly wave parameters at 1/24° horizontal resolution covering the Mediterranean Sea and extending up to -18.125W into the Atlantic Ocean.</p><p><b>Detailed description:</b></p>                                                                                                                               <p>The Mediterranean waves forecast system (Med-Waves) is based on the state-of-the-art third-generation wave model WAM Cycle 4.5.4 (Günther and Behrens, 2012), which is a modernized and improved version of the well-known and extensively used WAM Cycle 4 wave model (WAMDI Group, 1988; Komen et al., 1994). Cycle 4.5.4 has been released during MyWave (“A pan - European concerted and integrated approach to operational wave modelling and forecasting &ndash; a complement to GMES MyOcean services”) EU FP7 Research Project and is freely available to the entire research and forecasting community.\nWAM solves the wave transport equation explicitly without any presumption on the shape of the wave spectrum. Its source terms include the wind input, whitecapping dissipation, nonlinear transfer and bottom friction. The wind input term is adopted from Snyder et al. (1981). The whitecapping dissipation term is based on Hasselmann et al. (1974) whitecapping theory. The wind input and whitecapping dissipation source terms of the present cycle of the wave model are a further development based on Janssen´s quasi-linear theory of wind-wave generation (Janssen, 1989, 1991). The nonlinear transfer term is a parameterization of the exact nonlinear interactions as proposed by Hasselmann et al. (1985a, 1985b). Finally, the bottom friction term is based on the empirical JONSWAP model of Hasselmann et al. (1973). \nThe Med-Waves set up includes a coarse grid domain with a resolution of 1/6° covering the North Atlantic Ocean from 75° W to 10° E and from 70° N to 10° S and a nested fine grid domain with a resolution of 1/24° covering the Mediterranean Sea from 18.125° W to 36.2917° E and from 30.1875° N to 45.9792° S. \nThe Mediterranean Sea model receives from the North Atlantic model full wave spectrum at 3-hourly intervals at its Atlantic Ocean open boundary. The latter model is considered to have all of its four boundaries closed with no wave energy propagation from the adjacent seas. This assumption in combination with the wide geographical coverage of the North Atlantic model does not affect the swell propagation towards the open boundary of the Mediterranean model, which is the main interest of this nesting approach. \nThe wave spectrum is discretized using 32 frequencies, which covers a logarithmically scaled frequency band from 0.04177 Ηz to 0.8018 Ηz at intervals of df/f=0.1 and 24 equally spaced directions (15 degrees bin).\nThe Mediterranean model runs in shallow water mode considering wave refraction due to depth and currents in addition to depth induced wave breaking. The North Atlantic model runs in deep water mode with wave refraction due to currents only. The North Atlantic model additionally considers wave energy damping due to the presence of sea ice. A model grid point is considered to be a sea ice point if the ice fraction at that point exceeds 60%. At all sea ice points, the wave energy is set to zero.\nFollowing ECMWF (ECMWF, 2015), the tunable whitecapping dissipation coefficients C_ds and δ have been altered from their default values. Specifically, the values of C_ds&amp;#61;1.33 (C_ds&amp;#61;2.1 default) and δ&amp;#61;0.5 (δ &amp;#61; 0.6 default) have been adopted for the Mediterranean model and the values of C_ds&amp;#61;1.8 and δ&amp;#61;0.5 for the North Atlantic model. The aim of this tuning is to produce results which are in good agreement with data on fetch-limited growth and with data on the dependence of the surface stress on wave age.\nThe system is forced by 10m-above-sea-surface 6-hourly analysis wind fields obtained from the ECMWF Integrated Forecasting System at 1/8° resolution The wind is bi-linearly interpolated onto the model grids. Sea ice coverage fields are also obtained from ECMWF at the same horizontal resolution (1/8°) and are updated at daily frequency. With respect to currents forcing, the Mediterranean Sea model is forced by daily averaged surface currents obtained from CMEMS Med MFC Reanalysis at 1/16° resolution and the North Atlantic model is forced by daily averaged surface currents obtained from the CMEMS Global Reanalysis at 1/4° resolution. </p><p><b>References:</b> </p>                                                                                                                                                                                                                                                                                                                                                                                                                               <ul><li>ECMWF, 2015. ifs.documentation CY41R1.Part VII: ECMWF Wave &ndash; Model Documentation 2015 <a href=\""https://software.ecmwf.int/wiki/display/IFS/CY41R1+Official+IFS+Documentation\"">https://software.ecmwf.int/wiki/display/IFS/CY41R1+Official+IFS+Documentation</a> </li></ul><ul><li>Gunther H., Behrens A., 2012: The WAM model. Validation document Version 4.5.4. Institute of Coastal Research Helmholtz-Zentrum Geesthach (HZG) January 2012, 92pp</li></ul><ul><li>Hanna, S., Heinold, D. 1985. Development and application of a simple method for evaluating air quality. In: API Pub. No. 4409, Washington, DC, Washington, USA.</li></ul><ul><li>Hasselmann, K., T. P. Barnett, K. Bouws, H. Carlson, D. E. Cartwright, K. Enke, J. I. Ewing, H.  Gienapp, D. E. Hasselmann, P. Kruseman, A. Meerburg, P. Muller, K. Richter, D. J. Olbers, W. Sell, H. Walden, 1973: Measurements of wind-wave growth and swell decay during the Joint North Sea Wave Project (JONSWAP), Dtsch. Hydrogr. Z. Suppl., 12, A8, 95p. </li></ul><ul><li>Hasselmann, K., 1974: On the characterization of ocean waves due to white capping; Boundary-Layer Meteorology, Vol. 6, pp. 107-127.</li></ul><ul><li>Hasselmann, S., K. Hasselmann, 1985a: Computations and parameterizations of the nonlinear energy transfer in a gravity wave spectrum. Part I: A new method for efficient computations of the exact nonlinear transfer integral; J. Phys. Oceanogr., Vol. 15, No. 11, pp. 1369-1377.</li></ul><ul><li>Hasselmann, S., K. Hasselmann, J. H. Allender, T.P.Barnett, 1985b: Computations and parameterizations of the nonlinear energy transfer in a gravity wave spectrum. Part II: Parameterizations of the nonlinear energy transfer for application in wave models; J. Phys. Oceanogr., Vol. 15, No. 11, pp. 1378-1391.</li></ul><ul><li>Janssen, P. A. E. M., 1989: Wave-induced stress and the drag of air flow over sea waves; J. Phys. Oceanogr., 19, 745-754.</li></ul><ul><li>Janssen, P. A. E. M., 1991:Quasi-Linear theory of wind wave generation applied to wave forecasting; J. Phys. Oceanogr., 21, 1631-1642.</li></ul><ul><li>Komen G. J., Cavaleri L., Donelan M., Hasselmann K., Hasselmann S., Janssen P. A. E. M., 1994: Dynamics and modelling of ocean waves. Cambridge University Press, 532pp.</li></ul><ul><li>Snyder, R. L., F. W. Dobson, J. A. Elliot, R. B. Long, 1981: Array measurements of atmospheric pressure fluctuations above surface gravity waves; J. Fluid Mech., 102, 1-59</li></ul></span>"""
210,"['IFREMER', 'CHARM consortium']","Physical environment - In situ data - Mean surface salinity, standard deviation, kriging error during Channel Ground Fish Survey (CGFS) from 1997 to 2006","""<span><p>Temperature and salinity were measured in situ at sea surface and at bottom during the CGFS surveys from 1997 to 2006. Temperature and salinity were measured using a probe. These surveys give illustration of autumn conditions. Average, standard deviation and interpolation error of yearly maps were produced</p></span>"""
211,"['IFREMER', 'CHARM consortium']","Physical environment - In situ data - surface temperature in October, Mean and standard deviation (CGFS 1997-2007)","""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation. Abundance mean (mean) and standard deviation (st) have been calculated.</p></span>"""
212,"['CEFAS', 'CHARM consortium']",Species and habitats - Pleuronectes platessa - Nurseries British coasts - Multi-annual abundance in September Kriging error map,"""<span><p>Abundance of several species in coastal nurseries along british coasts. Kriging error (v) resulting from the interpolation of these data was maped.</p></span>"""
213,IFREMER SIH,Supra régions (version SIH),"""<span><p>Supra régions européennes et DOM français (version SIH).\nCouche réalisée à partir des données Geofla de l'IGN et selon la codification NUTS1/Eurostat.</p></span>"""
214,Null,Marine Mammals and Seabirds and Turtles: Winter presence-only distribution of Dermochelid turtle strandings,"""<span><p>Observations of stranded Dermochelid turtles from different datasets collected in France and the United Kingdom were compiled to generate presence-only distributions in the CHARM3 study area. The data span from 1835 - 2009.</p></span>"""
215,GLOBICE,Zone principale d'observation de Tursiops aduncus dans les eaux côtières réunionnaises,"""<span><p>L' identification d'une zone principale d'observation du Grand Dauphin de l'Indo-Pacifique (T. aduncus) dans les eaux côtières réunionnaises s'inscrit dans le cadre de la mise à jour de l'atlas de sensibilité du littoral réunionnais aux pollutions maritimes (révision du plan POLMAR-Terre). Elle a été établie à partir des données d'observation des cétacés acquises par GLOBICE (Abondance relative des différentes espèces de cétacés autour de l'île de La Réunion par année selon une grille de maille 2kmx2km, GLOBICE) au cours de prospections réalisées pour la plupart à moins de 6 miles des côtes et dans des eaux de moins de 100 mètres de profondeur, entre 2008 et 2015.</p></span>"""
216,Null,Monument historique,"""<span><p>Localisation des monuments historiques sur les départements littoraux.</p></span>"""
217,Producteurs de données : Projet Liteau - sous-projet OLIBAN (Observatoire du Littoral Bas-Normand),"Suivi du phytoplancton sur le point SOMLIT (Caen, depuis 2012)","""<span><p>Ce suivi a pour objectif de mettre en évidence des évolutions temporelles  de la structure des communautés phytoplanctoniques, en lien avec les facteurs environnementaux. Pour ce faire des comptages taxinomiques du microphytoplancton et des mesures des paramètres physico-chimiques sont effectués de manière hebdomadaire. L’identification du phytoplancton est réalisée jusqu’au niveau spécifique autant que possible.</p></span>"""
218,Null,Nombre de mammifères marins observés,"""<span><p>Cette couches représente les observations de mammifères marins dans la manche.</p></span>"""
219,"['DPMA', 'MIMEL', 'Terra Maris', 'Ifremer']",Arrêté du 14/08/1964,"""<span><p>Arrêté du 14 août 1964 portant création d'un cantonnement à crustacés dans l'archipel de Chausey (modifié).</p></span>"""
220,"IFREMER, REBENT",Carte des habitats intertidaux du site Natura 2000 FR5300015 - Baie de Morlaix [Partie 2/3 complémentaire : Les schorres],"""<span><p>La carte des schorres complète la carte des habitats intertidaux du site Natura 2000 FR5300015 - Baie de Morlaix <a href=\""Partie\"">1/3</a>\nqui a été réalisée, d'une part, par le Laboratoire des Sciences de l'Environnement Marin (LEMAR) de l'Institut Universitaire Européen de la Mer (IUEM) dans le cadre du réseau européen Natura 2000, et, d'autre part, par l’Ifremer dans le cadre de Rebent.</p></span>"""
221,"Médiathèque Michel Crépeau (C.D.A. La Rochelle) : carte originale 1904 LIENSs-CNRS-Université de la Rochelle : Frédéric Pouget & Cécilia Pignon-Mussaud : numérisation LIENSs-CNRS-Université de la Rochelle : Cécile Curti, digitalisation manuelle et Pierre-Guy Sauriau, validation biologique","Inventaire des gisements de mollusques comestibles des côtes de la Charente-Inférieure (Guérin, 1904). Etat 1904-1907","""<span><p>La distribution géographique des principaux gisements de mollusques comestibles des côtes de la Charente-Inférieure et du sud Vendée a été dressée en 1904 et 1907 par J. Guérin nommé aussi Guérin-Ganivet, préparateur au Muséum d’Histoire naturelles de Paris. L’iconographie est présentée sous forme de cartes dressées par A. Vaset (Guérin, 1904 ; Guérin-Ganivet, 1907). La carte de 1904 préalablement numérisée sur un support présent à la Médiathèque de La Rochelle a été digitalisée gisements par gisements afin d’extraire l’information spécifique. \nL’inventaire porte sur les gisements naturels et les structures d’élevage sur estrans (viviers, parcs, bouchots) ou à terre (claires) pour les espèces comestibles de l’époque. Sont répertoriées les gisements naturels disparus ou actifs, les viviers et claires d’engraissement et de verdissage de l’huître plate indigène Ostrea edulis Linné, 1758, les gisements naturels anciens ou récents, les viviers et claires pour l’huître introduite portugaise Crassostrea angulata Lamarck reconnue aujourd’hui comme étant similaire à l’huître creuse japonaise Crassostrea gigas (Thunberg, 1793) ; les moulières naturelles et bouchots à Mytilus edulis Linné, 1758 ainsi que les principaux gisements naturels du pétoncle Mimachlamys varia (Linné, 1758), de la palourde européenne Venerupis decussata (Linné, 1758), de la coque commune Cerastoderma edule (Linné, 1758) et de deux espèces de couteaux Ensis ensis (Linné, 1758) et Solen marginatus Pulteney, 1799. La reprise des informations des deux textes publiés (Guérin, 1904 ; Guérin-Ganivet, 1907) apporte des compléments sur la localisation de gisements naturels d’anomie Anomia ephippium Linné, 1758, de la lutraire Lutraria oblonga (Gmelin, 1791) et de la coquille St-Jacques Pecten maximus (Linné, 1758).</p></span>"""
222,"['IFREMER', 'CHARM consortium']",Species and habitats - Platichthys flesus - All ages - CGFS annual abundance in October (1989-2006),"""<span><p>Biologic data have been expressed in abundance (numbers or density values (nbr/km²)) and always required to be log-transformed using a log10(x+1) transformation.</p></span>"""
223,DCE 2000/60/CE,DCE – Bassin Loire-Bretagne - Etat écologique - Etat physico-chimique - Température,"""<span><p>La température figure parmi les éléments de qualité pour la classification de l'état écologique des masses d’eaux littorales, c’est à dire les masses d’eaux côtières et les masses d’eaux de transition de la Manche ouest et du golfe de Gascogne.</p><p>Les mesures de température sont effectuées sur site en sub-surface  une fois par mois de janvier à décembre. L’indicateur température est défini comme le pourcentage de mesures hors d’une enveloppe considérée comme assurant le bon fonctionnement écologique de l’écosystème. Il permet un classement en deux états : bon ou mauvais.  </p><pre>L’évaluation la plus récente de l’état de cet élément est présentée dans l’atlas DCE Loire-Bretagne. Les états antérieurs sont accessibles dans des archives annuelles.\n</pre></span>"""
224,"['CEFAS', 'CHARM consortium']",Species and habitats - Gadus morhua - Mature - Potential habitat in July modelled by Quantile Regression and its uncertainty with BTS data,"""<span><p>Modelised abundance of species or prediction uncertainty.</p></span>"""
